param_model__C,mean_test_score,std_test_score
0.01,0.8716707681723161,0.02995800891230283
0.1,0.9241083099906628,0.04110961993823613
1.0,0.9579707438530969,0.02677171608964413
10.0,0.9663367569249923,0.03162306668752773
