param_max_depth,mean_train_score,mean_test_score,std_test_score
1,0.5299873624001679,0.4928019107329452,0.017586195175954493
3,0.9967885304659498,0.8987267590797001,0.055645300920836305
5,1.0,0.905482537414426,0.056908284485095495
10,1.0,0.905482537414426,0.056908284485095495
,1.0,0.905482537414426,0.056908284485095495
