epoch,train_cross_entropy
9.600000000000000000e+01,7.116298377513885498e-02
9.700000000000000000e+01,7.060826569795608521e-02
9.800000000000000000e+01,7.006148993968963623e-02
9.900000000000000000e+01,6.952255964279174805e-02
1.000000000000000000e+02,6.899122893810272217e-02
1.010000000000000000e+02,6.846690177917480469e-02
1.020000000000000000e+02,6.794945150613784790e-02
1.030000000000000000e+02,6.743927299976348877e-02
1.040000000000000000e+02,6.693654507398605347e-02
1.050000000000000000e+02,6.644120812416076660e-02
1.060000000000000000e+02,6.595346331596374512e-02
1.070000000000000000e+02,6.547357141971588135e-02
1.080000000000000000e+02,6.500153988599777222e-02
1.090000000000000000e+02,6.453734636306762695e-02
1.100000000000000000e+02,6.408107280731201172e-02
1.110000000000000000e+02,6.363275647163391113e-02
1.120000000000000000e+02,6.319216638803482056e-02
1.130000000000000000e+02,6.275913864374160767e-02
1.140000000000000000e+02,6.233359873294830322e-02
1.150000000000000000e+02,6.191536784172058105e-02
1.160000000000000000e+02,6.150414422154426575e-02
1.170000000000000000e+02,6.109968200325965881e-02
1.180000000000000000e+02,6.070179864764213562e-02
1.190000000000000000e+02,6.031026318669319153e-02
1.200000000000000000e+02,5.992488190531730652e-02
1.210000000000000000e+02,5.954555422067642212e-02
1.220000000000000000e+02,5.917218700051307678e-02
1.230000000000000000e+02,5.880463495850563049e-02
1.240000000000000000e+02,5.844280868768692017e-02
1.250000000000000000e+02,5.808662995696067810e-02
1.260000000000000000e+02,5.773596838116645813e-02
1.270000000000000000e+02,5.739065632224082947e-02
1.280000000000000000e+02,5.705057457089424133e-02
1.290000000000000000e+02,5.671557039022445679e-02
1.300000000000000000e+02,5.638552829623222351e-02
1.310000000000000000e+02,5.606028065085411072e-02
1.320000000000000000e+02,5.573974549770355225e-02
1.330000000000000000e+02,5.542381852865219116e-02
1.340000000000000000e+02,5.511235445737838745e-02
1.350000000000000000e+02,5.480528250336647034e-02
1.360000000000000000e+02,5.450251325964927673e-02
1.370000000000000000e+02,5.420392379164695740e-02
1.380000000000000000e+02,5.390941351652145386e-02
1.390000000000000000e+02,5.361890792846679688e-02
1.400000000000000000e+02,5.333228409290313721e-02
1.410000000000000000e+02,5.304948985576629639e-02
1.420000000000000000e+02,5.277042090892791748e-02
1.430000000000000000e+02,5.249499157071113586e-02
1.440000000000000000e+02,5.222313106060028076e-02
1.450000000000000000e+02,5.195477232336997986e-02
1.460000000000000000e+02,5.168981850147247314e-02
1.470000000000000000e+02,5.142822861671447754e-02
1.480000000000000000e+02,5.116989091038703918e-02
1.490000000000000000e+02,5.091474950313568115e-02
1.500000000000000000e+02,5.066274106502532959e-02
